TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
25-11-2019,27,36.8,31.7,66,0,9.6,4,360,2,N 
26-11-2019,27,36.7,31.3,68,0,9.4,4,320,1,N 
27-11-2019,27,34.9,29.7,76,19.6,9.5,4,90,2,S 
28-11-2019,27,36.8,31.4,66,0,5.3,4,160,2,E 
29-11-2019,27,36.4,31.4,67,0,7.1,6,130,3,SE
30-11-2019,27,36.5,32,68,0,9.4,5,90,2,E 
1/12/2019,28,37,31.7,67,0,8.4,5,60,2,E 
2/12/2019,28,37.6,31.9,70,0,9.5,4,290,1,C 
3/12/2019,27,37.4,31.6,69,0,8.2,4,300,2,NW
4/12/2019,27,36.3,31.1,68,14.5,8.6,4,70,2,N 
5/12/2019,26,33.7,29.8,80,26,7.2,3,110,1,N 
6/12/2019,27,36,29.3,77,0.3,2.7,4,100,2,E 
7/12/2019,27,35,30.4,72,0.5,6.3,4,30,2,NE
8/12/2019,27,37.1,31.3,68,0,6.6,5,350,2,NW
9/12/2019,28,36,31.3,69,0,9.4,4,40,2,N 
10/12/2019,27,35.2,30.5,75,13.3,9.5,6,120,2,C 
11/12/2019,28,35.5,30.9,70,0,8.1,5,40,2,SE
12/12/2019,27,35,30.6,69,0,7.1,4,30,2,NW
13-12-2019,26,35.7,30.2,70,0,3.6,4,130,2,NW
14-12-2019,26,35.4,30.8,68,0,7.5,3,350,2,NW
15-12-2019,26,34.5,29.2,75,0,6.2,6,310,2,E 
16-12-2019,26,35.3,29.5,74,0,3.8,3,250,2,W 
17-12-2019,26,34.8,29.4,76,8888,5,3,90,1,W 
18-12-2019,26,35.6,30.2,74,0.5,4.5,5,40,2,C 
19-12-2019,27,36.4,31.5,71,8888,9.3,4,290,1,W 
20-12-2019,26,36,30.7,72,0,9.5,4,50,1,NW
21-12-2019,27,36.9,30.9,74,11.6,9.3,3,330,1,NW
22-12-2019,27,35,29.9,77,2.9,9.3,4,320,1,NW
23-12-2019,26,35.9,30,73,0,4.8,4,290,1,NW
24-12-2019,26,34.8,29.9,74,4.1,6,3,70,1,N 
25-12-2019,28,35.4,28.7,82,0,6.5,4,320,2,NW
26-12-2019,25,33.2,28.8,82,48.5,4.8,3,290,1,C 
27-12-2019,26,34,29,81,8888,5.7,3,110,2,N 
28-12-2019,25,34.7,29.6,77,11,3.2,4,280,2,NW
29-12-2019,26,35.3,30.4,76,0,8.4,4,300,2,NW
30-12-2019,26,36,29.8,76,-,6.4,3,340,1,C 
31-12-2019,26,35,29.7,80,0,5.3,4,70,2,NW
1/1/2020,26.2,32.6,28.7,79,8888,4.6,5,270,2,W 
2/1/2020,25.4,34.2,28.9,78,1.3,0.3,7,300,3,W 
3/1/2020,26,34.2,28.6,81,0,4,6,280,3,NW
4/1/2020,26.2,32.3,28.3,82,1.8,4.9,6,300,3,NW
5/1/2020,26.5,35.1,28.6,81,1.3,0.2,11,310,3,NW
6/1/2020,24.2,35.2,28.5,79,16.4,4.5,5,310,2,NW
7/1/2020,25,35.2,28.8,82,39.2,8.2,8,280,2,NW
8/1/2020,26.4,33,28.7,82,0.5,5,5,290,2,NW
9/1/2020,26,32.9,28.1,84,2,1.5,4,40,2,C 
10/1/2020,25.2,33.2,28.5,82,52.8,6,4,300,2,C 
11/1/2020,25,34.4,28.3,80,3.2,5.3,6,300,3,NW
12/1/2020,26.2,33.2,29.1,76,6,5.5,6,320,3,NW
13/1/2020,26.4,33.9,29.7,74,0,3,5,290,3,NW
14/1/2020,26.3,34.1,29.4,78,-,4.5,5,320,3,NW
15/1/2020,26.8,34.8,29.1,80,0,7.1,3,90,1,C 
16/1/2020,26.2,34,29.5,78,1,4.3,2,300,1,NW
17/1/2020,26,34.6,29.7,77,-,4,3,40,1,NE
18/1/2020,26.8,35.4,30.4,74,0,8.9,4,270,2,NW
19/1/2020,25.8,35.4,29.7,79,18.3,6.8,5,170,2,C 
20/1/2020,26.7,34,29.1,81,0,9,3,330,2,N 
21/1/2020,26,33.6,29.2,82,2.5,6,4,50,2,NW
22/1/2020,26.3,35.9,30.5,77,35.3,1.8,4,180,2,S 
23/1/2020,26.7,32,29,84,2.5,9.3,3,150,2,SE
24/1/2020,26.8,33.7,29.5,81,1.4,2.6,4,60,2,E 
25/1/2020,26.4,34.4,29.3,78,11,5.8,4,350,1,C 
26/1/2020,25.8,34.2,29.4,76,0,7,5,70,1,C 
27/1/2020,26.2,33.2,29.7,78,-,9.2,4,300,1,C 
28/1/2020,27.1,35.2,30.7,76,9.8,3.5,4,300,2,NW
29/1/2020,27.5,36.1,30.2,76,0,6.7,3,300,2,N 
30/1/2020,27,35,28.8,80,-,3.6,8,290,3,NW
31/1/2020,25.9,34.6,28.8,81,2.8,5.3,3,280,2,NW
1/2/2020,25,33.6,29,80,14.5,5.3,3,330,1,NW
